lon,lat,vs30,z1pt0,z2pt5,vs30measured,ampcode
-76.5189,3.3409,800.0,31.0701,0.5722,1,4e
-76.5189,3.3476,800.0,31.0701,0.5722,1,4e
-76.5189,3.3544,800.0,31.0701,0.5722,1,4e
-76.5189,3.3611,800.0,31.0701,0.5722,1,4d
-76.5189,3.3679,800.0,31.0701,0.5722,1,4d
-76.5189,3.3746,800.0,31.0701,0.5722,1,5
-76.5189,3.3814,800.0,31.0701,0.5722,1,5
-76.5189,3.3881,800.0,31.0701,0.5722,1,5
-76.5189,3.3949,800.0,31.0701,0.5722,1,5
-76.5189,3.4016,800.0,31.0701,0.5722,1,5
-76.5189,3.4084,800.0,31.0701,0.5722,1,5
-76.5189,3.4151,800.0,31.0701,0.5722,1,5
-76.5189,3.4219,800.0,31.0701,0.5722,1,5
-76.5189,3.4286,800.0,31.0701,0.5722,1,4b
-76.5189,3.4353,800.0,31.0701,0.5722,1,4b
-76.5189,3.4421,800.0,31.0701,0.5722,1,4b
-76.5189,3.4488,800.0,31.0701,0.5722,1,4b
-76.5189,3.4556,800.0,31.0701,0.5722,1,4b
-76.5189,3.4623,800.0,31.0701,0.5722,1,4b
-76.5189,3.4691,800.0,31.0701,0.5722,1,4b
-76.5189,3.4758,800.0,31.0701,0.5722,1,4b
-76.5189,3.4825,800.0,31.0701,0.5722,1,4b
-76.5189,3.4893,800.0,31.0701,0.5722,1,4b
-76.5189,3.496,800.0,31.0701,0.5722,1,4b
-76.5189,3.5028,317.4982,444.3631,1.6471,1,noaf
-76.5189,3.5095,350.2408,412.8907,1.4722,1,noaf
-76.5189,3.5163,452.032,289.3535,1.0995,1,noaf
-76.5189,3.523,345.7239,417.5621,1.4942,1,noaf
-76.5122,3.3072,186.7451,512.6006,3.0228,1,noaf
-76.5122,3.3139,268.8451,480.1401,1.9923,1,noaf
-76.5122,3.3207,800.0,31.0701,0.5722,1,4e
-76.5122,3.3274,800.0,31.0701,0.5722,1,4e
-76.5122,3.3342,800.0,31.0701,0.5722,1,4e
-76.5122,3.3409,800.0,31.0701,0.5722,1,4e
-76.5122,3.3476,800.0,31.0701,0.5722,1,4e
-76.5122,3.3544,800.0,31.0701,0.5722,1,4e
-76.5122,3.3611,800.0,31.0701,0.5722,1,4d
-76.5122,3.3679,800.0,31.0701,0.5722,1,5
-76.5122,3.3746,800.0,31.0701,0.5722,1,6
-76.5122,3.3814,800.0,31.0701,0.5722,1,6
-76.5122,3.3881,800.0,31.0701,0.5722,1,5
-76.5122,3.3949,800.0,31.0701,0.5722,1,5
-76.5122,3.4016,800.0,31.0701,0.5722,1,6
-76.5122,3.4084,800.0,31.0701,0.5722,1,5
-76.5122,3.4151,800.0,31.0701,0.5722,1,5
-76.5122,3.4219,800.0,31.0701,0.5722,1,5
-76.5122,3.4286,800.0,31.0701,0.5722,1,5
-76.5122,3.4353,800.0,31.0701,0.5722,1,4b
-76.5122,3.4421,800.0,31.0701,0.5722,1,4b
-76.5122,3.4488,800.0,31.0701,0.5722,1,4b
-76.5122,3.4556,800.0,31.0701,0.5722,1,4b
-76.5122,3.4623,800.0,31.0701,0.5722,1,4b
-76.5122,3.4691,800.0,31.0701,0.5722,1,4b
