#vs30_ref=800,,,,,,,,,,,,,,,
ampcode,level,PGA,SA(0.1),SA(0.2),SA(0.3),SA(0.6),SA(1.0),SA(2.0),sigma_PGA,sigma_SA(0.1),sigma_SA(0.2),sigma_SA(0.3),sigma_SA(0.6),sigma_SA(1.0),sigma_SA(2.0)
4d,0.0061,1.1243,1.3179,1.2961,1.3101,1.613,1.6872,2.0829,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0096,1.1216,1.3142,1.2921,1.3069,1.6008,1.6807,2.0633,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0151,1.1175,1.3088,1.2857,1.3029,1.5783,1.6771,2.046,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0237,1.1073,1.3028,1.2761,1.2962,1.5531,1.6501,2.0275,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0372,1.0953,1.2945,1.2599,1.2861,1.5182,1.6295,2.0328,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0584,1.0842,1.2808,1.2367,1.2741,1.4712,1.5992,2.0121,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.0918,1.0633,1.2667,1.2085,1.2591,1.4142,1.5581,1.9665,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.1443,1.0363,1.2449,1.1732,1.2411,1.3408,1.544,1.8451,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.2267,0.9902,1.2214,1.1317,1.2161,1.2674,1.5105,1.694,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.3562,0.9402,1.1931,1.0863,1.1629,1.2018,1.4207,1.5148,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.5598,0.901,1.1556,1.0334,1.114,1.1378,1.257,1.3266,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,0.8796,0.8478,1.1063,0.992,1.0547,1.0731,1.0431,1.1649,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,1.3823,0.8028,1.0538,0.9685,0.9655,1.0056,0.8573,1.023,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,2.1721,0.7607,0.9834,0.9406,0.9024,0.9427,0.7057,0.8984,0.3,0.3,0.3,0.3,0.3,0.3,0.3
4d,3.4133,0.7217,0.9231,0.9133,0.8412,0.8834,0.5809,0.7889,0.3,0.3,0.3,0.3,0.3,0.3,0.3
