#,,,,,,,,,,"generated_by='OpenQuake engine 3.15.0-gite09ae1ae50', start_date='2022-05-12T22:40:05', checksum=4015224999"
event_id,slight,moderate,extensive,complete,collapsed,fatalities,homeless,injured,losses,loss_type
82,9.61647E+03,9.25396E+02,2.10099E+02,1.28770E+02,1.40103E+01,8.45560E+00,1.91076E+03,2.49086E+02,1.55574E+08,structural
83,1.02025E+04,1.01607E+03,2.14849E+02,1.16392E+02,1.24575E+01,9.67457E+00,2.25185E+03,2.79493E+02,1.81154E+08,structural
84,9.15182E+03,7.06634E+02,1.38318E+02,7.14212E+01,7.79866E+00,5.85027E+00,1.37108E+03,1.67760E+02,1.74338E+08,structural
85,1.22252E+04,1.11603E+03,2.50452E+02,1.61121E+02,1.78252E+01,1.34567E+01,2.73321E+03,3.65620E+02,1.58153E+08,structural
86,1.24800E+04,1.41549E+03,3.36931E+02,2.12132E+02,2.30491E+01,1.75548E+01,3.72592E+03,5.09032E+02,2.20892E+08,structural
87,1.00562E+04,1.04284E+03,2.45327E+02,1.56710E+02,1.67294E+01,1.10669E+01,2.47088E+03,3.32523E+02,1.56977E+08,structural
88,8.08510E+03,8.62043E+02,2.28292E+02,1.89408E+02,1.95110E+01,1.16758E+01,2.66454E+03,4.10977E+02,2.06112E+08,structural
89,1.11972E+04,1.12601E+03,2.51235E+02,1.47791E+02,1.59795E+01,9.85956E+00,2.32361E+03,3.02595E+02,1.92673E+08,structural
90,8.78331E+03,7.34839E+02,1.62082E+02,1.02620E+02,1.11912E+01,1.59844E+01,2.55004E+03,3.82606E+02,2.08730E+08,structural
91,8.83072E+03,7.94033E+02,1.73309E+02,9.72548E+01,1.05914E+01,1.72739E+01,2.93741E+03,4.04983E+02,1.47118E+08,structural
92,9.42084E+03,7.74159E+02,1.54769E+02,8.14750E+01,8.91800E+00,8.27637E+00,1.94957E+03,2.41328E+02,1.62881E+08,structural
93,7.79958E+03,6.56955E+02,1.44270E+02,8.88749E+01,9.50543E+00,6.98960E+00,1.54366E+03,2.05835E+02,1.81717E+08,structural
94,9.07552E+03,8.00425E+02,1.91422E+02,1.33973E+02,1.46591E+01,1.12511E+01,2.25959E+03,3.21993E+02,1.91290E+08,structural
95,8.38466E+03,8.60396E+02,1.98249E+02,1.20795E+02,1.30433E+01,9.26378E+00,1.96451E+03,2.57524E+02,1.54389E+08,structural
