barrio,id_barrio,number,rc_usd,night,collapsed,fatalities,losses,str_lr,col_lr,occ_lr,hom_lr,inj_lr
Municipal,808.0,581.0,90871414,2752.0,0.03170481076,0.01535275147,130274,0.143361028561956,0.005456938168675,0.557876143531977,0.0,0.0
San Antonio,303.0,887.0,118750526,3126.0,0.10042358211,0.034212583261,268707,0.226278397776651,0.011321711624577,1.094452439571337,0.0,0.0
Las Américas,811.0,610.0,68560105,4064.0,0.02892750832,0.021678146097,91277,0.133134479447023,0.004742214478689,0.533418949237205,0.0,0.0
Benjamín Herrera,807.0,764.0,69063204,3220.0,0.03981632917,0.01636849251,95451,0.138207722006154,0.005211561409686,0.508338276708075,0.0,0.0
Planta de Tratamiento,2199.0,119.0,97743750,2860.0,0.00290920119,0.00691465526,88723,0.09077126500078,0.002444706882353,0.241771162937063,0.0,0.0
Santa Rosa,307.0,471.0,186559517,1563.0,0.04888200568,0.010648264388,298571,0.16004069689312,0.010378345154989,0.681270914139475,0.0,0.0
Atanasio Girardot,812.0,1221.0,144178784,7701.0,0.07521120403,0.055086174909,220666,0.153049990489322,0.006159803769861,0.715311971289443,0.0,0.0
Bellavista,1909.0,743.0,328198730,6018.0,0.062850142051,0.0304407690957,346052,0.105439864413001,0.008458969320458,0.505828665598205,0.0,0.0
La Floresta,806.0,1169.0,154868286,4940.0,0.05904553931,0.02523683359,210495,0.135918991713235,0.005050944337896,0.510867076720648,0.0,0.0
Chapinero,814.0,1139.0,148928334,5586.0,0.06842661373,0.038113732999,229225,0.153916097940135,0.006007604366111,0.682308145345507,0.0,0.0
San Cayetano,304.0,1092.0,106861612,4623.0,0.1301003491,0.05529470247,256359,0.239898506983721,0.011913951382784,1.196078357560026,0.0,0.0
El Trébol,816.0,797.0,108730806,4671.0,0.040137595,0.025950753959,154662,0.142242960143203,0.005036084692597,0.555571696831514,0.0,0.0
San Pascual,309.0,451.0,57226776,2566.0,0.04634891807,0.021736739157,143733,0.251163995742507,0.010276921966741,0.847105968706158,0.0,0.0
San Juan Bosco,306.0,985.0,176047257,3662.0,0.11845239832,0.040429763657,452637,0.257110890635927,0.012025624194924,1.104035053440743,0.0,0.0
Saavedra Galindo,803.0,1032.0,112452137,3056.0,0.05008931074,0.014109611887,152590,0.135693488128254,0.004853615381783,0.461701959653141,0.0,0.0
Belalcázar,908.0,1195.0,154057167,3002.0,0.08484942509,0.022192686424,266215,0.172802485178729,0.007100370300418,0.73926337188541,0.0,0.0
Simón Bolívar,802.0,443.0,34269443,1702.0,0.02454080426,0.009285351774,48047,0.140204548495714,0.005539684934537,0.545555333372503,0.0,0.0
El Nacional,301.0,317.0,22727321,2451.0,0.03786391435,0.031789899465,56063,0.246676736916076,0.011944452476341,1.297017522031824,0.0,0.0
